online_order,booking,votes,location,rest_type,cost,types,rating_binary
1,0,275,4,78,100,2,1
1,0,323,32,27,850,2,1
1,0,28,84,27,400,2,0
1,0,18,4,78,200,2,1
1,0,6,4,78,100,2,0
1,0,0,4,40,100,2,1
1,0,322,32,27,400,2,1
1,0,157,32,19,450,2,0
1,0,543,4,78,300,2,1
1,0,180,1,19,500,2,1
1,0,444,4,78,100,2,1
1,0,134,32,78,400,2,1
1,0,577,32,27,900,2,1
1,0,60,1,78,200,2,1
1,0,144,32,27,550,2,1
1,0,787,1,27,800,2,1
1,0,16,4,78,200,2,1
1,0,84,1,78,250,2,1
1,0,95,1,78,150,2,1
1,1,349,1,27,1200,2,1
1,0,248,49,78,400,2,1
1,0,216,4,19,500,2,1
1,0,0,49,27,400,2,1
1,0,324,1,19,700,2,1
1,0,231,49,78,400,2,0
1,0,102,84,27,400,2,0
1,0,133,1,19,800,2,1
1,0,45,1,27,800,2,0
1,0,149,49,78,300,2,1
1,0,75,1,78,200,2,1
1,0,53,68,39,600,2,1
1,1,815,32,27,900,2,1
1,1,633,1,27,800,2,1
1,0,56,32,40,400,2,0
1,0,82,1,78,300,2,0
1,0,35,32,78,200,2,1
1,0,20,4,78,150,2,1
1,0,14,49,78,250,2,0
1,0,70,1,40,400,2,1
1,0,91,32,19,300,2,1
1,0,45,32,78,200,2,1
1,0,7,1,78,250,2,0
1,0,28,1,78,150,2,1
1,0,24,1,27,600,2,1
1,0,36,4,40,200,2,1
1,0,11,32,78,200,2,0
1,0,77,49,19,650,2,1
1,0,8,1,88,100,2,0
1,0,14,32,78,100,2,1
1,0,210,49,27,600,2,1
1,0,130,32,19,650,2,1
1,0,30,32,14,100,2,1
1,0,144,1,19,700,2,1
1,0,11,4,8,800,2,0
1,0,133,32,27,700,2,1
1,0,136,32,78,350,2,1
1,0,4,4,78,200,2,0
1,0,11,4,90,200,2,0
1,0,74,4,78,300,2,1
1,0,30,4,78,300,2,1
1,0,7,4,78,200,2,0
1,0,75,1,26,200,2,1
1,0,54,4,19,600,2,1
1,0,23,4,59,100,2,1
1,0,119,1,27,400,2,0
1,0,73,1,78,400,2,1
1,0,58,4,19,400,2,0
1,0,129,1,27,600,2,1
1,0,24,1,78,250,2,1
1,0,175,49,78,400,2,0
1,0,21,57,78,300,2,1
1,0,41,80,58,400,2,0
1,0,35,32,78,300,2,1
1,0,176,4,27,800,2,1
1,0,45,1,14,300,2,0
1,0,47,32,82,400,2,1
1,1,36,32,27,650,2,1
1,0,52,49,17,400,2,1
1,0,123,1,78,200,2,0
1,0,59,49,27,700,2,1
1,0,4,49,78,300,2,0
1,0,101,1,78,400,2,1
1,0,54,1,16,400,2,1
1,0,0,1,78,200,2,1
1,0,22,4,78,200,2,1
1,0,31,1,91,250,2,0
1,0,29,49,19,500,2,0
1,0,6,32,14,100,2,0
1,0,22,4,78,250,2,0
1,0,11,1,78,500,2,0
1,0,101,4,78,150,2,1
1,1,442,32,76,1200,2,1
1,0,155,4,78,400,2,0
1,0,12,1,17,150,2,0
1,0,15,4,78,100,2,1
1,0,10,4,78,200,2,0
1,0,25,1,78,300,2,1
1,0,61,1,78,300,2,1
1,0,23,84,78,300,2,1
1,0,25,4,78,350,2,1
1,0,40,49,78,200,2,1
1,0,4,4,78,100,2,0
1,0,8,4,78,150,2,0
1,0,32,49,78,300,2,0
1,0,10,4,78,200,2,0
1,0,6,4,78,300,2,0
1,0,53,32,78,250,2,1
1,0,67,49,27,700,2,1
1,0,23,32,88,250,2,0
1,0,19,1,78,200,2,0
1,0,24,1,78,300,2,1
1,0,232,32,78,400,2,1
1,0,221,32,27,700,2,1
1,1,1063,32,28,1200,2,1
1,0,93,4,78,200,2,1
1,0,233,32,27,800,2,1
1,0,211,32,27,500,2,1
1,0,1778,32,78,200,2,1
1,0,218,87,27,800,2,1
1,0,514,4,19,600,2,1
1,1,866,32,27,900,2,1
1,0,96,49,78,400,2,0
1,0,80,1,78,250,2,0
1,0,73,4,0,300,2,1
1,0,84,32,88,400,2,1
1,0,88,1,78,350,2,0
1,0,179,1,27,600,2,0
1,0,61,4,78,100,2,1
1,0,128,84,27,450,2,1
1,0,339,32,78,400,2,1
1,0,449,4,78,100,2,1
1,0,210,32,42,150,2,1
1,0,57,4,78,200,2,1
1,0,213,1,78,400,2,0
1,0,208,32,17,250,2,0
1,0,70,1,78,100,2,1
1,0,219,4,19,600,2,1
1,0,59,1,78,200,2,1
1,0,10,1,78,500,2,0
1,0,9,49,78,400,2,0
1,0,124,49,27,750,2,1
1,0,19,49,78,100,2,1
1,0,0,32,92,300,2,1
1,0,4,4,78,150,2,0
1,0,4,49,40,150,2,0
1,0,21,4,40,200,2,1
1,0,8,1,79,250,2,0
1,0,10,49,78,400,2,0
1,0,0,1,78,400,2,1
1,0,10,49,78,400,2,0
1,0,4,49,78,200,2,0
1,0,4,1,39,350,2,0
1,0,0,84,78,300,2,1
1,0,16,29,92,500,2,1
1,0,0,49,92,300,2,1
1,0,12,32,78,300,2,0
1,0,0,32,0,150,2,1
